PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-19,30-SEP-20,Amended,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,2782284,,,2073108,,,.1411,859538,421013,332,121512,30002,10929,96720,29.28,2212.85,,5376,2691,19235,,,,,,,
010005,01-OCT-19,30-SEP-20,Amended,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,567802,,,.1267,,,195,71370,12772,7090,35813,,1296,,2343,1435,7149,,,,,,,
010006,01-JUL-20,30-JUN-21,As Submitted,NORTH ALABAMA MEDICAL CENTER            ,1701 VETERANS DRIVE                     ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,2293939,,,752572,,,.0772,865823,284452,223,81395,22847,8353,61200,23.92,995.28,,3851,1165,11870,36,,,,,,
010007,01-OCT-19,30-SEP-20,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,31927,,,.0339,,,45,16470,3268,559,5642,,149.55,,597,131,1142,,,,21,,202,
010008,01-JAN-20,30-MAR-20,Settled,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,1570,,,.0424,,,29,2552,136,16,357,,87.16,,34,4,93,,,,25,,106,
010008,31-MAR-20,31-DEC-20,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,7564,,,.053,,,29,8091,592,79,1291,,64.72,,97,23,234,,,,63,,343,
010011,01-JUL-20,30-JUN-21,Amended,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,903839,,,357735,,,.0518,1032548,299379,241,87965,15595,9581,77134,20.94,991.65,,2519,1466,12783,,,,32,2,301,235
010012,01-APR-20,31-MAR-21,As Submitted,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,174937,,,.12,,,97,35405,3732,2998,11720,,304.6,,717,678,2761,,,,5,,163,
010016,01-JAN-20,31-DEC-20,As Submitted,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,393918,,,.0795,,,212,77592,10894,7524,47973,,666,,1990,1191,9242,,,,191,,943,
010018,01-OCT-19,30-SEP-20,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,59089,,,,,,,20243,264286,6,2196,112,26,398,7,242.93,,44,9,150,,,,,,,
010019,01-OCT-19,30-SEP-20,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,474179,,,.1252,,,172,62952,9796,5192,24424,,672.77,,2255,1869,6294,,,,,,,
010021,01-OCT-19,30-SEP-20,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,77320,,,.12,,,77,28182,2101,1409,8768,,277.13,,361,218,1221,,,,13,,127,
010022,01-JUL-20,30-JUN-21,As Submitted,CHEROKEE MEDICAL CENTER                 ,400 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,30054,,,.12,,,45,16425,999,1732,4345,,83.36,,199,312,880,,,,,,,
010023,01-JUL-20,30-JUN-21,As Submitted,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2630662,,,1892569,,,.1971,870125,552218,327,119355,28080,26493,105721,40.67,1836.24,,3353,3793,15220,,,,624,,1856,
010024,01-JAN-20,31-DEC-20,Amended,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,1073048,,,.1411,,,274,100280,18441,11516,70308,,1630.16,,2874,1937,12023,280,,,,,,
010029,01-OCT-19,30-SEP-20,Amended,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1164552,,,.136,,,311,113493,21867,16584,76797,,2480.49,,3659,3655,16215,,,,,,,273
010033,01-OCT-19,30-SEP-20,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,20626535,,,6612236,,,.1889,7985313,3162937,1076,393722,68209,86498,320454,596.29,9371.72,,10592,12497,44963,,,,666,256,2436,1188
010034,01-OCT-19,30-SEP-20,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,26602,,,.1029,,,37,13542,1349,383,3425,,165.68,,184,51,525,3,,,9,,147,
010035,01-JUL-20,30-JUN-21,As Submitted,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,244175,,,.0511,,,133,48545,11721,2856,30594,,,,2334,1254,7379,,,,,,,
010036,01-APR-20,31-MAR-21,As Submitted,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,288825,,,.1802,,,83,30295,3796,2061,9358,,239.53,,832,494,2289,7,,,,,,
010038,01-OCT-19,30-SEP-20,Settled,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,P.O. BOX                                ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,166751,,,.1359,,,125,45750,3568,1996,10930,,252.83,,722,375,2345,,,,,,,
010039,01-JUL-20,30-JUN-21,As Submitted,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,4405930,,,3066680,,,.0997,1811932,750718,908,331420,71058,47374,243998,60.39,6918.88,,11405,9759,47995,,,,263,,1673,
010040,01-OCT-19,30-SEP-20,Amended,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,,,,884598,,,.1295,,,222,81252,15540,10107,55097,,923.38,,3132,1815,10903,,,,9,,284,
010044,01-OCT-19,30-SEP-20,As Submitted,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,19257,,,.0606,,,36,13176,1848,67,2736,,106.72,,214,25,388,,,,,,,
010045,01-OCT-19,30-SEP-20,Amended,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,12804,,,.0284,,,45,16470,2253,142,3444,,164.62,,307,67,582,,,,,,,
010046,01-JAN-20,31-DEC-20,Amended,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 SOUTH 3RD STREET                    ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,420577,,,.0865,,,256,93696,10477,2828,27241,,537.17,,2119,514,5450,2,,,15,,244,
