PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-16,30-SEP-17,Settled,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,2253954,,,.1349,,,387,141255,41687,13088,99315,,2425.37,,7994,3240,19677,1204,,,,,,
010005,01-OCT-16,30-SEP-17,Settled,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,737932,,,.132,,,204,74460,17652,6440,39191,,1181.7,,3491,1493,8463,,,,,,,
010006,01-JUL-17,30-JUN-18,Settled,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,933348,,,.0939,,,358,130670,27067,9868,61692,,960.63,,5198,1916,12642,,,,,,,
010007,01-OCT-16,30-SEP-17,Settled,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,25649,,,.0324,,,45,16425,2822,399,4241,,148.6,,682,155,1123,,,,25,,252,
010008,01-JAN-17,31-DEC-17,Settled,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,19888,,,.0973,,,29,10585,719,94,1115,,92.89,,185,30,311,,,,162,,664,
010011,01-JUL-17,30-JUN-18,Settled,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,692468,,,755342,,,.1124,697250,224295,317,115705,20225,14049,92112,15.66,995.58,,3058,2086,15146,884,,,18,20,415,315
010012,01-APR-17,31-MAR-18,Settled,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,184344,,,.12,,,97,35405,4038,1813,11581,,347.69,,997,802,3191,,,,13,,227,
010016,01-JAN-17,31-DEC-17,Settled,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,425642,,,.0808,,,212,77380,12284,7714,47282,,684,,2660,1312,10536,,,,223,,1174,
010018,01-OCT-16,30-SEP-17,Settled,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,35797,,,,,,,25437,431653,12,4380,61,10,152,6.95,225.15,,23,4,56,,,,,,,
010019,01-OCT-16,30-SEP-17,Settled,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,595089,,,.1498,,,178,64970,11320,6561,27269,,656.95,,2701,2196,6864,,,,,,,
