PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-14,30-SEP-15,Reopened,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,1720340,207871,,.122,,,400,146000,43444,9014,89693,,2379.5,,8326,2849,18484,,,,,,,
010005,01-OCT-14,30-SEP-15,Settled,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,735976,,,.1225,,,204,74460,18486,6598,38465,,1068.4,,3769,1383,9368,254,,,,,,
010006,01-JUL-15,30-JUN-16,Settled,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,1072105,,,.0968,,,358,131028,31359,9264,60737,,971.12,,5993,2055,12713,44,,,,,,
010007,01-OCT-14,30-SEP-15,Settled,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,33638,,,.037,,,45,16425,3464,517,5108,,135.31,,816,198,1379,,,,20,,305,
010008,01-JAN-15,31-DEC-15,Settled,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,27001,,,.1223,,,29,10585,947,192,1836,,82.71,,220,77,352,,,,160,,568,
010011,01-JUL-15,30-JUN-16,Reopened,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,860412,,,832416,,,.1049,701232,228733,308,112687,24695,12303,86386,13.73,1133.02,,3985,2026,15226,,,,23,11,385,323
010012,01-APR-15,31-MAR-16,Reopened,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,172727,,,.12,,,97,35502,4137,3294,11323,,359.47,,1025,846,3161,,,,,,280,
010016,01-JAN-15,02-OCT-15,Settled,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,335980,,,.0685,,,212,58300,13033,5998,40503,1.56,852.8,,2449,1620,9401,,,,,,925,
010018,01-OCT-14,30-SEP-15,Reopened,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,40684,,,,,,,15869,315648,12,4380,89,15,196,7.93,182.93,,27,5,63,,,,,,,
010019,01-OCT-14,31-DEC-14,Settled,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,158053,,,.1463,,,185,17020,3003,1586,6565,,524.88,,674,540,1589,,,,,,,
010019,01-JAN-15,30-SEP-15,Settled,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,515505,,,.1446,,,185,50505,10762,5127,22281,,617.23,,2385,1692,5359,,,,,,,
010021,01-OCT-14,30-SEP-15,Settled,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,121851,,,.12,,,77,28105,3579,2069,8336,,287.19,,716,410,1641,,,,29,,273,
010022,01-APR-15,31-MAR-16,Settled,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,110924,,,.2894,,,45,16470,2544,747,4779,,107.42,,289,170,673,,,,,,,
010023,01-JUL-15,30-JUN-16,Settled,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2910972,,,2577905,,,.2352,553700,547766,329,120414,25794,26587,86443,44.8,1704.15,,5075,4797,16403,,,,499,,2018,
010024,01-JAN-15,31-DEC-15,Settled,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,1146290,,,.1199,,,255,93075,26154,11281,66658,,1202.68,,4863,2179,13536,,,,,,,
010029,01-OCT-14,30-SEP-15,Settled,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1512799,,,.1256,,,332,121180,35569,15281,78799,,2254.61,,6161,3133,15846,,,,,,,
010032,01-OCT-14,30-SEP-15,Settled,WEDOWEE HOSPITAL                        ,301 NORTH MAIN STREET                   ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,23053,,,.12,,,34,12410,702,114,1535,,72.21,,198,39,381,,,,,,,
010033,01-OCT-14,30-SEP-15,Reopened,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,21377986,,,6959354,,,.2033,7806667,2977556,1017,371554,80607,83338,304948,545.72,7836,,12428,12100,43121,,,,,173,2641,1121
010034,01-OCT-14,30-SEP-15,Settled,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,35530,,,.0561,,,37,13505,2305,578,5111,,160.03,,492,153,1154,,,,6,,146,
010035,01-JUL-15,30-JUN-16,Settled,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,417794,,,.0775,,,115,42090,14197,3666,27014,,816.34,,3307,1510,7495,,,,,,,
010036,01-APR-15,31-MAR-16,Settled,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,207637,,,.12,,,88,32208,5206,2647,10310,,237.78,,1327,636,2936,,,,,,,
010038,01-JUL-15,30-JUN-16,Reopened,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,38                                      ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,236710,,,.1178,,,125,45750,5612,1474,10826,,254.2,,1435,450,3021,,,,,,,
010039,01-JUL-15,30-JUN-16,Reopened,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,5043090,,,3859142,,,.1072,1559607,680599,866,316956,87183,45548,234439,57.98,5846.09,,16012,6858,44554,,,,233,,1614,
010040,01-OCT-14,30-SEP-15,Settled,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35999                                   ,ETOWAH                                  ,,,,1258643,,,.126,,,231,84159,30425,12229,70327,,1079.92,,5245,2356,14151,,,,9,,335,
010044,01-OCT-14,30-SEP-15,Settled,MARION REGIONAL MEDICAL CENTER          ,22                                      ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,,,,,,,35,12652,2936,43,3363,,105.68,,221,18,300,,,,,,,
010045,01-OCT-14,30-SEP-15,Reopened,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,45936,,,.0601,,,42,15330,4518,287,5641,,180.69,,577,,1024,,,,,,,
010046,01-MAR-15,31-DEC-15,Reopened,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 S 3RD STREET                        ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,,,,,,,256,78336,14297,1,28149,,518.63,,2782,809,6256,,,,8,,139,
010047,01-JAN-15,31-DEC-15,Settled,GEORGIANA HOSPITAL                      ,515 MIRANDA STREET                      ,,GEORGIANA                               ,AL                                      ,36033                                   ,BUTLER                                  ,,,,35044,,,.1109,,,22,8030,1106,197,1515,,44.9,,349,62,529,,,,,,,
010049,01-JAN-15,31-DEC-15,Settled,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,159073,,,.12,,,117,42705,3015,3564,10148,,331.54,,972,941,3343,,,,,,,
010051,01-OCT-14,30-SEP-15,Settled,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,26146,,,.12,,,20,7300,610,208,981,,107.03,,167,73,288,,,,,,,
010052,01-JAN-15,31-DEC-15,Settled,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,46332,,,.1165,,,46,16790,1132,200,1703,,67.98,,364,76,624,,,,,,,
