PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-13,30-SEP-14,Settled,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,2145563,,,.1286,,,398,139065,46163,16111,94934,,2405.8,,8462,2907,18489,,,,,,264,
010005,01-OCT-13,30-SEP-14,Reopened,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,764970,,,.1269,,,204,74460,18335,5984,37535,,1074.47,,3947,1449,8849,215,,,,,,
010006,01-JUL-14,30-JUN-15,Reopened,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,922676,,,.0848,,,358,130670,32497,8576,61093,,990.49,,5873,1734,13544,38,,,,,,
010007,01-OCT-13,30-SEP-14,Settled,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,26571,,,.0346,,,45,16425,3339,421,5123,,145.46,,709,158,1573,,,,16,,306,
010008,01-JAN-14,31-DEC-14,Settled,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,48816,,,.1892,,,29,10585,1184,97,1866,,106.7,,246,41,352,,,,130,,568,
010011,01-JUL-14,30-JUN-15,Reopened,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,1604391,,,944170,,,.1135,680023,239619,305,111325,24865,13340,85909,14.15,1121.3,,4159,2061,15186,,,,19,10,402,281
010012,01-APR-14,31-MAR-15,Reopened,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,175398,,,.12,,,97,35405,4415,3084,11338,,353.71,,1067,763,3145,,,,25,,306,
010016,01-JAN-14,31-DEC-14,Reopened,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,548379,,,.0871,,,212,77380,16947,9134,54312,,856.62,,3262,2164,11158,,,,,,536,
010018,01-OCT-13,30-SEP-14,Reopened,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,49337,,,,,,,24124,289299,12,4380,87,11,188,7.51,147.6,,25,4,57,,,,,,,
010019,01-OCT-13,30-SEP-14,Reopened,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,665331,,,.149,,,185,67525,13689,6541,27858,,633.54,,2871,2241,6704,,,,,,,
