PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-15,30-SEP-16,Settled,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,2289397,,,.1369,,,387,141642,44854,12838,97665,,2397.43,,8560,3115,19632,191,,,,,,
010005,01-OCT-15,30-SEP-16,Settled,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,781710,,,.1298,,,204,74664,18143,6959,38875,,1113.2,,3691,1446,9406,,,,,,,
010006,01-JUL-16,30-JUN-17,Settled,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,149650,859490,,.0972,,,358,130670,28690,9676,61741,,971.12,,5550,2018,12896,50,,,,,,
010007,01-OCT-15,30-SEP-16,Settled,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,43349,,,.0476,,,45,16470,3717,483,4450,,140.41,,766,159,1179,,,,24,,260,
010008,01-JAN-16,31-DEC-16,Settled,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,16491,,,.0814,,,29,10614,855,120,1222,,87.83,,197,37,328,,,,139,,671,
010011,01-JUL-16,30-JUN-17,Settled,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,796410,,,802669,,,.1072,767630,207695,312,113880,23044,13394,87713,14.03,1063.76,,3634,2159,15371,,,,20,17,433,286
010012,01-APR-16,31-MAR-17,Settled,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,189907,,,.12,,,97,35405,4785,2957,11884,,360.52,,1084,784,3141,,,,13,,238,
010016,03-OCT-15,31-DEC-15,Settled,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,83616,,,.0565,,,212,19080,3664,1703,12514,,875.2,,743,473,2718,,,,65,,332,
010016,01-JAN-16,31-DEC-16,Reopened,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,535393,,,.0826,,,212,77592,16251,8811,53086,,734.69,,3233,1447,11045,,,,227,,1332,
010018,01-OCT-15,30-SEP-16,Reopened,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,60904,,,,,,,41908,390411,12,4392,138,2,232,7.54,204.08,,37,1,64,,,,,,,
