PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-17,30-SEP-18,Settled,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,297296,,,2023187,,,.1296,,,327,119355,37115,13153,95560,3.28,2371.67,,6953,3061,19963,,,,,,,
010005,01-OCT-17,30-SEP-18,Settled,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,602045,,,.12,,,204,74460,15637,7310,38089,,1181.21,,3068,1765,9069,,,,,,,
010006,01-JUL-18,30-JUN-19,Settled,NORTH ALABAMA MEDICAL CENTER            ,1701 VETERANS DRIVE                     ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,994152,,,.1004,,,233,104170,26122,10090,61969,,970.89,,5029,2723,12472,47,,,,,,
010007,01-OCT-17,30-SEP-18,Settled,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,26412,,,.0319,,,45,16425,3151,497,4571,,157.12,,682,173,1157,,1,,31,,279,
010008,01-JAN-18,31-DEC-18,Settled,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,10745,,,.055,,,29,10585,728,85,1334,,98.54,,171,23,314,,,,,,702,
010011,01-JUL-18,30-JUN-19,Settled,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,637924,,,433981,,,.0668,836390,229302,309,112785,18021,10686,82556,16.53,944,,2931,1623,14059,,,,14,14,607,281
010012,01-APR-18,31-MAR-19,Settled,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,209235,,,.12,,,97,35405,4157,1858,11591,,357.55,,1058,759,3207,,,,10,,275,
010016,01-JAN-18,31-DEC-18,Settled,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,512182,,,.0906,,,212,77380,12196,7852,46061,,691,,2597,1272,10376,,,,167,,1082,
010018,01-OCT-17,30-SEP-18,Settled,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,57842,,,,,,,21919,310072,12,4380,94,37,293,5.65,226.67,,35,14,130,,,,,,,
010019,01-OCT-17,30-SEP-18,Settled,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,580306,,,.1316,,,178,64970,12911,6206,27993,,695.76,,2925,2197,7325,,,,,,,
010021,01-OCT-17,30-SEP-18,Settled,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,77243,,,.12,,,77,28105,2752,2103,8101,,283.19,,448,263,1290,,,,23,,155,
010022,01-APR-18,31-MAY-18,Settled,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,,,,,,,45,1395,29,94,411,,,,,24,114,2,,,,,,
010022,01-JUN-18,30-JUN-19,Settled,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,34963,,,.12,,,45,17775,1986,910,4311,,105.51,,255,193,654,51,,,,,,
010023,01-JUL-18,30-JUN-19,Settled,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2589064,,,2394812,,,.2622,573057,622778,320,116518,21607,19710,84119,40.53,1825.69,,4136,3225,17309,,,,,,1889,
010024,01-JAN-18,31-DEC-18,Amended,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,1019722,,,.1158,,,270,98550,22057,11493,74145,,1554.44,,4028,1777,15439,,,,,,,
010029,01-OCT-17,30-SEP-18,Settled,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1529682,,,.1533,,,372,135780,26210,17844,76479,,2365.48,,4776,3760,17172,,,,,1,,275
010032,01-OCT-17,13-NOV-17,Settled,WEDOWEE HOSPITAL                        ,301 NORTH MAIN STREET                   ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,766,,,.0524,,,34,1496,43,7,63,,76.72,,16,2,29,,,,,,,
010032,14-NOV-17,30-JUN-18,Settled,TANNER MEDICAL CENTER-EAST ALABAMA      ,1032 MAIN STREET SOUTH                  ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,1871,,,.0259,,,15,3435,399,51,1025,,58.7,,73,22,175,,,,,,,
010032,01-JUL-18,08-JAN-19,Settled,TANNER MEDICAL CENTER-EAST ALABAMA      ,1032 MAIN STREET SOUTH                  ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,995,,,.0264,,,15,2880,233,26,653,,43.54,,42,12,128,,,,,,,
010033,01-OCT-17,30-SEP-18,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,19455655,,,6135188,,,.1907,8536629,3399491,1063,387532,72256,85476,317372,569.44,8795,,11282,11875,44804,,,,561,241,2355,1264
010034,01-OCT-17,30-SEP-18,Settled,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,27575,,,.065,,,37,13505,2102,348,4913,,212.96,,318,112,874,,,,13,,163,
010035,01-JUL-18,30-JUN-19,Settled,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,405422,,,.0873,,,145,52925,11408,3648,26895,,918.38,,2846,1412,7771,,,,,,,
010036,01-APR-18,31-MAR-19,Settled,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,341134,,,.1821,,,83,30295,5437,2443,10826,,242.33,,1337,651,2882,3,,,,,,
010038,01-OCT-17,30-SEP-18,Settled,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,P.O. BOX                                ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,151240,,,.1022,,,125,45625,4314,1645,10142,,234.31,,1026,467,2574,,,,,,,
010039,01-JUL-18,30-JUN-19,Settled,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,4546556,,,3721992,,,.1131,1738699,765895,877,320105,79988,51354,239808,59.19,6683.48,,14273,10706,49884,,,,273,,1897,
010040,01-OCT-17,30-SEP-18,Settled,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,,,,1040528,,,.1194,,,222,81030,23535,10256,60383,,997.42,,4123,2124,12897,,,,25,,431,
010044,01-OCT-17,30-SEP-18,Settled,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,28052,,,.0648,,,36,13140,2859,149,3861,,110.43,,343,50,584,,,,,,,
010045,01-OCT-17,30-SEP-18,Settled,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,20202,,,.0378,,,45,16425,2900,252,4292,,257.11,,397,,840,,,,,,,
010046,01-JAN-18,31-DEC-18,Settled,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 SOUTH 3RD STREET                    ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,364745,,,.0742,,,256,93440,11133,2765,24619,,545.56,,2649,740,6497,,,,12,,315,
010047,01-JAN-18,31-DEC-18,Settled,GEORGIANA HOSPITAL                      ,515 MIRANDA STREET                      ,,GEORGIANA                               ,AL                                      ,36033                                   ,BUTLER                                  ,,,,19655,,,.0675,,,22,8030,946,160,1391,,40.99,,298,67,458,,,,,,,
010049,01-JAN-18,31-DEC-18,Settled,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,168601,,,.12,,,99,36135,2914,2740,10196,,322.24,,946,874,3392,,,,,,,
010051,01-OCT-17,30-SEP-18,Settled,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,8643,,,.12,,,20,7300,239,74,493,,68.82,,74,30,139,,,,,,,
010052,01-JAN-18,31-DEC-18,Settled,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,33991,,,.118,,,46,16790,770,198,1595,,68.37,,262,75,574,,,,,,,
010055,01-OCT-17,30-SEP-18,Settled,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,846495,,,.0845,,,235,85775,21885,7364,54161,,1059.19,,4468,1590,12205,,,,,,,
010056,01-JUL-18,30-JUN-19,Settled,ST VINCENTS BIRMINGHAM                  ,810 ST VINCENTS DRIVE                   ,,BIRMINGHAM                              ,AL                                      ,35205-                                  ,JEFFERSON                               ,84319,,,558060,,,.0476,24719,14828,400,142082,23859,12028,103744,,1757.47,,4869,6032,21302,531,,,,,,
010058,01-OCT-17,30-SEP-18,Settled,BIBB MEDICAL CENTER                     ,165 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,19891,,,.12,,,25,9125,1663,325,3433,,120.39,,140,124,315,,,,,,,
