PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-21,30-SEP-22,As Submitted,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,3236651,,,1568011,,,.1269,1532138,755916,353,128845,25848,12709,103997,42.36,2415.18,,4557,2482,18814,36,,,,,,
010005,01-OCT-21,30-SEP-22,As Submitted,MARSHALL MEDICAL CENTERS SOUTH          ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,498256,,,.1491,,,178,64970,9164,8429,35493,,1293,,1505,1404,6446,,,,,,,
010006,01-JUL-22,30-JUN-23,As Submitted,NORTH ALABAMA MEDICAL CENTER            ,1701 VETERANS DRIVE                     ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,3105026,,,571213,,,.0655,1775051,632349,223,81395,20770,8058,67263,36.12,1210.66,,3515,1452,11307,,,,,,,
010007,01-OCT-21,30-SEP-22,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,59777,,,.077,,,45,16425,2550,599,6005,,171.57,,451,144,1204,9,,,18,,198,
010008,01-JAN-22,31-DEC-22,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,19950,,,.12,,,29,10585,471,202,1335,,98.55,,105,45,291,1,,,152,,555,
010011,01-JUL-22,30-JUN-23,As Submitted,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,1303286,,,432819,,,.067,1812112,497034,286,100742,15564,9253,76616,26.35,942.62,,2458,1527,13109,,,,31,1,356,194
010012,01-APR-22,31-MAR-23,As Submitted,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,136130,,,.12,,,97,35405,2116,1926,8812,,277.84,,586,551,2556,5,1,,11,,247,
010016,01-JAN-22,31-DEC-22,As Submitted,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,,,,,,,212,77380,8702,3796,38726,,522.81,,1565,540,6994,1,,,117,,671,
010018,01-OCT-21,30-SEP-22,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,82289,,,,,,,12892,278936,6,2190,72,17,363,7.26,264.42,,27,8,140,,,,,,,
010019,01-OCT-21,30-SEP-22,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,396245,,,.1306,,,178,64970,8508,6350,28212,,712.51,,1671,1988,6553,,,,,,,
010021,01-OCT-21,30-SEP-22,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,61302,,,.12,,,77,28105,1482,1256,6851,,268.21,,262,267,1228,,,,6,,32,
010022,01-JAN-22,31-DEC-22,Amended,CHEROKEE MEDICAL CENTER                 ,400 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,27355,,,.12,,,45,16425,699,1828,4493,,86.91,,169,319,1047,,,,,,,
010023,01-JUL-22,30-JUN-23,As Submitted,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,1787629,,,1408852,,,.2017,852778,747384,348,127020,15184,22379,94647,50.94,1846.28,,2397,3130,13516,462,,,852,,1736,
010024,01-JAN-22,31-DEC-22,As Submitted,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,727496,,,.1177,,,278,101470,15342,10674,75232,,1601.99,,2329,1767,12009,396,,,,,,
010029,01-OCT-21,30-SEP-22,As Submitted,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,632995,,,989850,,,.1477,557561,249501,297,108405,16755,17425,77586,11.26,2261.17,,2655,3658,15434,,,,,,,
010033,01-OCT-21,30-SEP-22,Amended,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,19717585,,,5692331,,,.1688,9058183,3886368,1138,415370,62914,93909,370013,618.87,9625.87,,9641,9359,47810,,,,733,203,2184,1117
010034,01-OCT-21,30-SEP-22,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,7528,,,.0585,,,37,13505,532,147,1970,,127.88,,89,32,350,,,,6,,96,
010035,01-JUL-22,30-JUN-23,As Submitted,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,257974,,,.0563,,,137,50005,9890,3956,31652,,1083.71,,2493,1740,9352,,,,,,,
010036,01-APR-22,31-MAR-23,As Submitted,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,213640,,,.1725,,,83,30295,2763,1815,8229,,169.24,,687,499,2281,7,,,,,,
010039,01-JUL-22,30-JUN-23,As Submitted,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,4095095,,,3179808,,,.1127,1872669,948384,904,329960,61402,58627,273631,62.44,7131.45,,10015,10787,50177,,,,315,,1567,
010040,01-OCT-21,30-SEP-22,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,54741,,,653824,,,.1353,,,219,79935,11867,9665,52468,1.26,848.08,,2026,2170,9675,,,,18,,319,
010044,01-OCT-21,30-SEP-22,As Submitted,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,6032,,,.0254,,,36,13140,1758,47,2872,,102.93,,155,20,289,,,,,,,
010045,01-OCT-21,30-SEP-22,As Submitted,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,10358,,,.0267,,,32,11680,1458,165,2702,,160.67,,235,58,554,,,,,,,
010046,01-JAN-22,31-DEC-22,As Submitted,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 SOUTH 3RD STREET                    ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,174615,,,.0454,,,256,93440,8194,2781,29421,,585.7,,1657,486,6018,2,,,13,,204,
010049,01-JAN-22,31-DEC-22,As Submitted,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,182663,,,.12,,,99,36135,3589,3199,13767,,326.51,,774,865,3549,,,,,,,
010051,01-OCT-21,30-SEP-22,As Submitted,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,7197,,,.12,,,20,7300,181,1112,1358,,45.85,,37,170,230,,,,,,,
010052,01-JAN-22,31-DEC-22,As Submitted,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,8285,,,.0498,,,46,16790,437,129,1403,,61.74,,110,35,378,,,,,,,
010055,01-OCT-21,30-SEP-22,As Submitted,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,663936,,,.0887,,,193,72632,15558,7709,57381,,1027.48,,2894,1586,12030,,,,,,,
010056,01-JUL-22,30-JUN-23,As Submitted,ST VINCENTS BIRMINGHAM                  ,810 ST VINCENTS DRIVE                   ,,BIRMINGHAM                              ,AL                                      ,35205-                                  ,JEFFERSON                               ,60580,,,542195,,,.0595,34930,24281,399,145635,18669,9417,97510,,1653.31,,3483,1673,18405,,,,,,,
010058,01-OCT-21,30-SEP-22,As Submitted,BIBB MEDICAL CENTER                     ,208 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,15353,,,.12,,,25,9125,1720,101,3830,,129.54,,72,75,229,,,,,,,
010059,01-OCT-21,30-SEP-22,As Submitted,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,18763,,,.12,,,43,15695,681,200,1806,,100.55,,98,32,367,,,,,,,
010061,01-OCT-21,31-OCT-22,As Submitted,HIGHLANDS MEDICAL CENTER                ,380 WOOD COVE ROAD                      ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768                                   ,JACKSON                                 ,,,,156490,,,.1186,,,45,17820,3003,1831,9686,,389.73,,655,591,2278,,,,,,,
010062,01-OCT-21,30-SEP-22,As Submitted,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,29882,,,.12,,,33,12045,1074,817,3678,,151.83,,166,171,580,,,,42,,227,
